Base-Size,Size,Threads,Time
64,64,1,0.0303456
64,64,1,0.0310913
64,64,1,0.0303155
64,64,1,0.0307226
64,64,1,0.0318694
64,64,1,0.0418191
64,64,1,0.030522
64,64,1,0.0412382
64,64,1,0.0303807
64,64,1,0.0304631
64,64,1,0.0410093
64,64,1,0.0307782
64,64,1,0.0402582
64,64,1,0.0298752
64,64,1,0.0302122
64,64,1,0.0311701
64,64,1,0.0311569
64,64,1,0.0299677
64,64,1,0.030298
64,64,1,0.0303576
64,128,4,0.0735987
64,128,4,0.0822523
64,128,4,0.0793753
64,128,4,0.0679576
64,128,4,0.0687818
64,128,4,0.074254
64,128,4,0.0741616
64,128,4,0.0737933
64,128,4,0.07092
64,128,4,0.0709261
64,128,4,0.0737222
64,128,4,0.0731237
64,128,4,0.0812356
64,128,4,0.065977
64,128,4,0.0772762
64,128,4,0.0660077
64,128,4,0.070408
64,128,4,0.0818985
64,128,4,0.0704349
64,128,4,0.074714
64,256,16,0.19405
64,256,16,0.176079
64,256,16,0.176502
64,256,16,0.197928
64,256,16,0.665083
64,256,16,0.186928
64,256,16,0.183155
64,256,16,0.182605
64,256,16,0.254956
64,256,16,0.181289
64,256,16,0.181832
64,256,16,0.198957
64,256,16,0.181083
64,256,16,0.208633
64,256,16,0.275935
64,256,16,0.229016
64,256,16,0.185771
64,256,16,0.335099
64,256,16,0.296941
64,256,16,0.21258
64,512,64,0.617775
64,512,64,0.924304
64,512,64,0.654129
64,512,64,0.854813
64,512,64,0.799575
64,512,64,0.640229
64,512,64,0.623082
64,512,64,0.666511
64,512,64,0.702775
64,512,64,0.670905
64,512,64,0.698055
64,512,64,0.652309
64,512,64,0.838101
64,512,64,0.782335
64,512,64,0.671135
64,512,64,0.665117
64,512,64,0.672272
64,512,64,0.629403
64,512,64,0.678086
64,512,64,0.68113
128,128,1,0.17319
128,128,1,0.168752
128,128,1,0.171559
128,128,1,0.172283
128,128,1,0.172528
128,128,1,0.170595
128,128,1,0.227245
128,128,1,0.171995
128,128,1,0.170385
128,128,1,0.169854
128,128,1,0.169587
128,128,1,0.171473
128,128,1,0.22499
128,128,1,0.225392
128,128,1,0.171534
128,128,1,0.172046
128,128,1,0.225605
128,128,1,0.170988
128,128,1,0.170113
128,128,1,0.230727
128,256,4,0.415599
128,256,4,0.424394
128,256,4,0.467844
128,256,4,0.492759
128,256,4,0.39751
128,256,4,0.417245
128,256,4,0.401059
128,256,4,0.438645
128,256,4,0.460933
128,256,4,0.482687
128,256,4,0.473091
128,256,4,0.400532
128,256,4,0.402653
128,256,4,0.420552
128,256,4,0.467651
128,256,4,0.403852
128,256,4,0.407847
128,256,4,0.392588
128,256,4,0.450435
128,256,4,0.401911
128,512,16,0.974665
128,512,16,0.928313
128,512,16,1.0551
128,512,16,0.993735
128,512,16,1.14661
128,512,16,1.08975
128,512,16,0.947319
128,512,16,0.969211
128,512,16,0.96649
128,512,16,1.05398
128,512,16,0.953135
128,512,16,1.09644
128,512,16,0.994057
128,512,16,1.09041
128,512,16,0.953919
128,512,16,1.04058
128,512,16,1.07844
128,512,16,1.06942
128,512,16,1.07537
128,512,16,0.98233
128,1024,64,2.8423
128,1024,64,2.91069
128,1024,64,3.08348
128,1024,64,2.71745
128,1024,64,2.95363
128,1024,64,2.68871
128,1024,64,2.87167
128,1024,64,2.98075
128,1024,64,2.8863
128,1024,64,2.76243
128,1024,64,2.89106
128,1024,64,2.80511
128,1024,64,2.66922
128,1024,64,2.70237
128,1024,64,2.78266
128,1024,64,2.96609
128,1024,64,2.7564
128,1024,64,2.72892
128,1024,64,2.6776
128,1024,64,2.70987
256,256,1,1.54177
256,256,1,1.52169
256,256,1,1.15271
256,256,1,1.54959
256,256,1,1.15289
256,256,1,1.53708
256,256,1,1.15574
256,256,1,1.15308
256,256,1,1.1568
256,256,1,1.15567
256,256,1,1.37683
256,256,1,1.54811
256,256,1,1.1477
256,256,1,1.15689
256,256,1,1.40507
256,256,1,1.55345
256,256,1,1.15269
256,256,1,1.15321
256,256,1,1.15464
256,256,1,1.15256
256,512,4,2.26614
256,512,4,2.40896
256,512,4,2.23512
256,512,4,2.30583
256,512,4,2.32612
256,512,4,2.33237
256,512,4,2.54762
256,512,4,2.30773
256,512,4,2.40993
256,512,4,2.27936
256,512,4,2.71699
256,512,4,2.59189
256,512,4,2.45553
256,512,4,2.75333
256,512,4,2.49072
256,512,4,2.4707
256,512,4,2.53544
256,512,4,2.4864
256,512,4,2.63017
256,512,4,2.48746
256,1024,16,5.32994
256,1024,16,5.30182
256,1024,16,5.42744
256,1024,16,5.39992
256,1024,16,5.41211
256,1024,16,5.33624
256,1024,16,5.25333
256,1024,16,5.25458
256,1024,16,5.28643
256,1024,16,5.29749
256,1024,16,5.22124
256,1024,16,5.25852
256,1024,16,5.21048
256,1024,16,5.45123
256,1024,16,5.42728
256,1024,16,5.64147
256,1024,16,5.41912
256,1024,16,5.59255
256,1024,16,5.36569
256,1024,16,5.28434
256,2048,64,16.3475
256,2048,64,16.4072
256,2048,64,17.0505
256,2048,64,16.4959
256,2048,64,17.9973
256,2048,64,16.3773
256,2048,64,16.0625
256,2048,64,16.2504
256,2048,64,16.3132
256,2048,64,17.2509
256,2048,64,16.2589
256,2048,64,15.9098
256,2048,64,16.3005
256,2048,64,17.3012
256,2048,64,17.0752
256,2048,64,16.5788
256,2048,64,16.2809
256,2048,64,16.3923
256,2048,64,15.9191
256,2048,64,16.1567
