Size,Threads,Time
64,1,0.0839459
64,1,0.0646194
64,1,0.0636115
64,1,0.0656742
64,1,0.0701463
64,1,0.0663939
64,1,0.0839237
64,1,0.0637597
64,1,0.0653218
64,1,0.0637503
64,1,0.0641603
64,1,0.0647189
64,1,0.0841129
64,1,0.0641564
64,1,0.0651117
64,1,0.0654264
64,1,0.064562
64,1,0.0872784
64,1,0.0835331
64,1,0.0826301
64,2,0.231713
64,2,0.309529
64,2,0.229288
64,2,0.259224
64,2,0.242859
64,2,0.258993
64,2,0.267477
64,2,0.113452
64,2,0.22611
64,2,0.234487
64,2,0.226506
64,2,0.237248
64,2,0.282334
64,2,0.195384
64,2,0.254291
64,2,0.219811
64,2,0.264857
64,2,0.232365
64,2,0.244523
64,2,0.273151
64,4,0.164954
64,4,0.154457
64,4,0.156438
64,4,0.151061
64,4,0.161119
64,4,0.15091
64,4,0.161896
64,4,0.200298
64,4,0.196822
64,4,0.169796
64,4,0.165129
64,4,0.138687
64,4,0.163291
64,4,0.159616
64,4,0.145564
64,4,0.157715
64,4,0.144029
64,4,0.160802
64,4,0.14598
64,4,0.165433
64,8,0.122824
64,8,0.140646
64,8,0.124959
64,8,0.138036
64,8,0.13126
64,8,0.137825
64,8,0.137644
64,8,0.144324
64,8,0.126499
64,8,0.126396
64,8,0.129718
64,8,0.130637
64,8,0.139487
64,8,0.128488
64,8,0.134934
64,8,0.136329
64,8,0.136064
64,8,0.135688
64,8,0.133734
64,8,0.124985
64,16,0.154464
64,16,0.161144
64,16,0.129704
64,16,0.136419
64,16,0.131652
64,16,0.141259
64,16,0.125446
64,16,0.124311
64,16,0.121747
64,16,0.121296
64,16,0.134433
64,16,0.166796
64,16,0.135682
64,16,0.130945
64,16,0.123731
64,16,0.132768
64,16,0.129502
64,16,0.127439
64,16,0.125939
64,16,0.136094
128,1,0.465228
128,1,0.448825
128,1,0.509803
128,1,0.478976
128,1,0.45233
128,1,0.445313
128,1,0.59634
128,1,0.474178
128,1,0.569342
128,1,0.435756
128,1,0.452288
128,1,0.509299
128,1,0.450114
128,1,0.531279
128,1,0.460971
128,1,0.44553
128,1,0.447995
128,1,0.453215
128,1,0.464666
128,1,0.448509
128,2,1.04441
128,2,1.02729
128,2,1.191
128,2,1.09335
128,2,1.01769
128,2,1.03197
128,2,1.09236
128,2,1.1003
128,2,1.04345
128,2,1.02888
128,2,0.99639
128,2,1.20697
128,2,1.00812
128,2,1.04732
128,2,1.01179
128,2,0.978565
128,2,0.884335
128,2,1.0792
128,2,1.01698
128,2,0.99269
128,4,0.71753
128,4,0.64586
128,4,0.744447
128,4,0.687167
128,4,0.705715
128,4,0.621282
128,4,0.591976
128,4,0.680795
128,4,0.949026
128,4,0.603675
128,4,0.581711
128,4,0.589526
128,4,0.580399
128,4,0.596534
128,4,0.583255
128,4,0.5821
128,4,0.637161
128,4,0.639358
128,4,0.580696
128,4,0.623824
128,8,0.399541
128,8,0.379286
128,8,0.449843
128,8,0.434029
128,8,0.419636
128,8,0.41509
128,8,0.413719
128,8,0.383985
128,8,0.386119
128,8,0.363492
128,8,0.380512
128,8,0.382426
128,8,0.410094
128,8,0.3705
128,8,0.388299
128,8,0.41478
128,8,0.358907
128,8,0.405621
128,8,0.39493
128,8,0.535487
128,16,0.302393
128,16,0.315989
128,16,0.325345
128,16,0.33145
128,16,0.324335
128,16,0.368749
128,16,0.289151
128,16,0.300475
128,16,0.316983
128,16,0.313026
128,16,0.306879
128,16,0.311529
128,16,0.278992
128,16,0.27364
128,16,0.34184
128,16,0.307865
128,16,0.317041
128,16,0.301983
128,16,0.306954
128,16,0.292953
256,1,5.12337
256,1,5.28211
256,1,5.46402
256,1,4.11997
256,1,5.4928
256,1,5.10429
256,1,4.92038
256,1,5.51002
256,1,4.6905
256,1,4.72167
256,1,5.08355
256,1,4.96105
256,1,5.26198
256,1,4.66706
256,1,4.78278
256,1,5.51013
256,1,5.12098
256,1,5.00615
