Base-Size,Size,Threads,Time
64,64,1,0.0674291
64,64,1,0.0539272
64,64,1,0.0677843
64,64,1,0.0543541
64,64,1,0.0676347
64,64,1,0.0540206
64,64,1,0.0672796
64,64,1,0.0594262
64,64,1,0.0684724
64,64,1,0.0531763
64,64,1,0.0682436
64,64,1,0.0592594
64,64,1,0.0729793
64,64,1,0.0671634
64,64,1,0.0691429
64,64,1,0.0704369
64,64,1,0.0672588
64,64,1,0.0670652
64,64,1,0.0675935
64,64,1,0.0715765
64,128,4,0.238782
64,128,4,0.260138
64,128,4,0.23925
64,128,4,0.24418
64,128,4,0.349161
64,128,4,0.233676
64,128,4,0.325555
64,128,4,0.321376
64,128,4,0.220355
64,128,4,0.236812
64,128,4,0.326893
64,128,4,0.31869
64,128,4,0.237942
64,128,4,0.237878
64,128,4,0.322281
64,128,4,0.325611
64,128,4,0.233442
64,128,4,0.239212
64,128,4,0.237294
64,128,4,0.231079
64,256,16,0.735226
64,256,16,1.26154
64,256,16,0.702034
64,256,16,0.615447
64,256,16,0.700657
64,256,16,0.695862
64,256,16,0.736506
64,256,16,0.700844
64,256,16,0.6846
64,256,16,0.706873
64,256,16,0.649011
64,256,16,0.607094
64,256,16,0.679021
64,256,16,0.895836
64,256,16,0.704441
64,256,16,0.629793
64,256,16,0.719751
64,256,16,0.667865
64,256,16,0.625031
64,256,16,1.75517
64,512,64,351.923
64,512,64,32.181
64,512,64,5.07675
64,512,64,12.2306
64,512,64,6.1775
64,512,64,110.681
64,512,64,31.1773
64,512,64,26.4401
64,512,64,37.1082
64,512,64,84.6619
64,512,64,172.429
64,512,64,66.3779
64,512,64,53.7519
64,512,64,12.9467
64,512,64,6.17859
64,512,64,4.71959
64,512,64,14.6888
64,512,64,28.8358
64,512,64,67.0567
64,512,64,22.3329
128,128,1,0.233278
128,128,1,0.238378
128,128,1,0.239663
128,128,1,0.414086
128,128,1,0.434541
128,128,1,0.327956
128,128,1,0.403895
128,128,1,0.328148
128,128,1,0.334825
128,128,1,0.437328
128,128,1,0.401591
128,128,1,0.402672
128,128,1,0.329006
128,128,1,0.301645
128,128,1,0.454119
128,128,1,0.428715
128,128,1,0.330892
128,128,1,0.422868
128,128,1,0.304122
128,128,1,0.421974
128,256,4,1.24653
128,256,4,1.32235
128,256,4,1.14909
128,256,4,1.67239
128,256,4,1.27939
128,256,4,1.43772
128,256,4,1.20466
128,256,4,1.83706
128,256,4,1.64364
128,256,4,1.64015
128,256,4,1.28504
128,256,4,1.84484
128,256,4,1.64976
128,256,4,1.14885
128,256,4,1.2965
128,256,4,1.65371
128,256,4,1.3286
128,256,4,1.23054
128,256,4,1.47988
128,256,4,1.73188
128,512,16,5.07988
128,512,16,5.73024
128,512,16,5.25225
128,512,16,5.61858
128,512,16,4.68782
128,512,16,9.97362
128,512,16,5.39452
128,512,16,7.99361
128,512,16,5.29241
128,512,16,5.97898
128,512,16,5.50975
128,512,16,5.01284
128,512,16,5.31371
128,512,16,6.20484
128,512,16,5.63844
128,512,16,5.25711
128,512,16,8.62126
128,512,16,8.17076
128,512,16,6.79367
128,512,16,5.72829
128,1024,64,32.341
128,1024,64,106.844
128,1024,64,38.35
128,1024,64,110.723
128,1024,64,132.719
128,1024,64,33.9542
128,1024,64,55.35
128,1024,64,268.882
128,1024,64,77.0734
128,1024,64,96.8322
128,1024,64,196.073
128,1024,64,595.15
128,1024,64,206.539
128,1024,64,149.236
128,1024,64,186.964
128,1024,64,71.6938
128,1024,64,83.1088
128,1024,64,77.318
128,1024,64,256.664
128,1024,64,27.8429
256,256,1,1.95381
256,256,1,2.6479
256,256,1,3.05963
256,256,1,3.34605
256,256,1,3.00008
256,256,1,2.71317
256,256,1,2.65437
256,256,1,3.28969
256,256,1,3.06015
256,256,1,2.69212
256,256,1,2.70682
256,256,1,3.83595
256,256,1,2.68233
256,256,1,2.67557
256,256,1,3.0824
256,256,1,2.66138
256,256,1,3.02227
256,256,1,3.02428
256,256,1,2.73652
256,256,1,3.18616
256,512,4,14.1763
256,512,4,13.2091
256,512,4,18.0197
256,512,4,12.8103
256,512,4,12.6113
256,512,4,18.4274
256,512,4,12.7598
256,512,4,14.6853
256,512,4,13.6127
256,512,4,14.0772
256,512,4,13.1296
256,512,4,17.2429
256,512,4,14.2601
256,512,4,15.1149
256,512,4,14.559
256,512,4,16.9458
256,512,4,14.808
256,512,4,17.9725
256,512,4,12.8043
256,512,4,13.9494
256,1024,16,38.3443
256,1024,16,43.4514
256,1024,16,42.8075
256,1024,16,40.9797
256,1024,16,44.5019
256,1024,16,41.3285
256,1024,16,42.7175
256,1024,16,37.8335
256,1024,16,41.0839
256,1024,16,37.6278
256,1024,16,37.6556
256,1024,16,35.9565
256,1024,16,38.0007
256,1024,16,36.5118
256,1024,16,35.4873
256,1024,16,35.0416
256,1024,16,36.0127
256,1024,16,36.1569
256,1024,16,35.0251
256,1024,16,42.3472
256,2048,64,570.552
256,2048,64,358.165
256,2048,64,507.988
256,2048,64,493.964
256,2048,64,395.519
256,2048,64,420.854
256,2048,64,368.691
256,2048,64,407.998
256,2048,64,567.468
256,2048,64,388.606
256,2048,64,515.629
256,2048,64,910.616
256,2048,64,577.786
256,2048,64,531.174
256,2048,64,445.164
256,2048,64,234.995
256,2048,64,451.888
256,2048,64,675.75
256,2048,64,516.881
256,2048,64,262.682
